city,temp,country,date,latitude,longitude,cloudiness,humidity,wind speed
Lebu,63.48,CL,1639071136,-37.6167,-73.65,0,69,17.78
Codrington,52.36,AU,1639071136,-38.2667,141.9667,74,79,11.3
Maniago,39.76,IT,1639071136,46.1706,12.7078,75,93,3.44
Norman Wells,8.64,CA,1639071136,65.282,-126.8329,75,78,14.97
Krasnovishersk,26.42,RU,1639071137,60.4078,57.082,100,95,9.26
College,12.15,US,1639071137,64.8569,-147.8028,90,82,0
Anadyr,-7.01,RU,1639071137,64.75,177.4833,75,76,8.01
Marsabit,68.58,KE,1639071137,2.3284,37.9899,93,71,15.52
Tonj,83.84,SS,1639071137,7.2737,28.6822,0,23,4.05
Busselton,66.09,AU,1639071137,-33.65,115.3333,65,92,7.65
Cabra,55.26,ES,1639071137,37.4725,-4.4421,73,77,2.08
Falāvarjān,53.28,IR,1639071095,32.5553,51.5097,0,28,1.36
New Norfolk,53.65,AU,1639071138,-42.7826,147.0587,88,67,1.12
Yazman,60.87,PK,1639071138,29.1212,71.7446,0,29,3.49
Sungurlu,44.29,TR,1639071138,40.1675,34.3739,27,67,4.63
Port Blair,78.98,IN,1639071138,11.6667,92.75,84,72,10.54
Wanaka,54.41,NZ,1639071138,-44.7,169.15,47,85,2.37
Lakota,80.82,CI,1639071138,5.8528,-5.6883,54,72,5.84
Bourail,77.61,NC,1639071138,-21.5667,165.4833,1,85,3.62
Chui,72.46,UY,1639071139,-33.6971,-53.4616,97,56,13.58
Castro,75.65,BR,1639071139,-24.7911,-50.0119,0,33,7.02
Balikpapan,74.95,ID,1639071139,-1.2675,116.8289,100,95,4.92
Ust-Nera,-27.94,RU,1639071139,64.5667,143.2,100,99,3.15
Guerrero Negro,65.71,MX,1639071139,27.9769,-114.0611,99,65,3.13
Vila Franca do Campo,67.19,PT,1639071139,37.7167,-25.4333,61,62,1.61
Arroyo de la Encomienda,51.6,ES,1639071139,41.6096,-4.7969,20,81,20.71
Lashio,59.4,MM,1639071139,22.9333,97.75,10,98,1.03
Cabo San Lucas,83.52,MX,1639071139,22.8909,-109.9124,1,48,3
Bluff,49.8,NZ,1639071140,-46.6,168.3333,18,73,12.8
George Town,81.9,MY,1639071140,5.4112,100.3354,20,80,0
Arraial do Cabo,76.96,BR,1639071140,-22.9661,-42.0278,0,78,13.8
Milas,56.55,TR,1639070888,37.3164,27.7839,75,62,6.91
Thompson,1.56,CA,1639071140,55.7435,-97.8558,90,85,5.75
Sault Ste. Marie,28.89,CA,1639071141,46.5168,-84.3333,75,63,11.5
Pāsighāt,63.19,IN,1639071141,28.0667,95.3333,23,63,3.62
Kandrian,78.24,PG,1639071141,-6.2167,149.55,100,89,5.39
Airai,61.45,TL,1639071141,-8.9266,125.4092,100,90,0.56
Sal Rei,77.2,CV,1639071141,16.1833,-22.9167,51,65,20.71
Asău,33.96,RO,1639071141,46.4333,26.4,87,84,1.45
